id,answer
1,F
2,T
3,T
4,F
5,T
6,F
7,T
8,F
9,T
10,F
11,T
12,F
13,F
14,F
15,F
16,F
17,F
18,T
19,T
20,T
21,F
22,T
23,F
24,T
25,F
26,T
27,T
28,T
29,F
30,T
31,F
32,F
33,F
34,T
35,T
36,T
37,F
38,T
39,F
40,F
41,F
42,T
43,F
44,F
45,T
46,T
47,F
48,F
49,F
50,T
51,F
52,F
53,F
54,F
55,F
56,T
57,F
58,T
59,F
60,T
61,F
62,F
63,T
64,T
65,F
66,F
67,F
68,F
69,F
70,F
71,T
72,F
73,F
74,T
75,F
76,T
77,F
78,T
79,F
80,F
81,F
82,T
83,F
84,T
85,T
86,T
87,F
88,F
89,F
90,F
91,F
92,T
93,F
94,F
95,F
96,T
97,T
98,T
99,F
100,T
